timestep,voltage_V,pH
0,4.092,7.08
1,4.082,7.13
2,4.082,7.13
3,4.087,7.1
4,4.097,7.05
5,4.097,7.05
6,4.102,7.02
7,4.111,6.97
8,4.106,6.99
9,4.106,6.99
10,4.102,7.02
11,4.097,7.05
12,4.087,7.1
13,4.087,7.1
14,4.092,7.08
15,4.082,7.13
16,4.082,7.13
17,4.092,7.08
18,4.097,7.05
19,4.102,7.02
20,4.102,7.02
21,4.106,6.99
22,4.111,6.97
23,4.097,7.05
24,4.102,7.02
25,4.092,7.08
26,4.092,7.08
27,4.087,7.1
28,4.087,7.1
29,4.087,7.1
30,4.092,7.08
31,4.092,7.08
32,4.092,7.08
33,4.106,6.99
34,4.106,6.99
35,4.106,6.99
36,4.106,6.99
37,4.102,7.02
38,4.092,7.08
39,4.087,7.1
40,4.087,7.1
41,4.087,7.1
42,4.087,7.1
43,4.092,7.08
44,4.092,7.08
45,4.097,7.05
46,4.106,6.99
47,4.111,6.97
48,4.111,6.97
49,4.106,6.99
50,4.097,7.05
51,4.092,7.08
52,4.092,7.08
53,4.092,7.08
54,4.082,7.13
55,4.087,7.1
56,4.092,7.08
57,4.087,7.1
58,4.092,7.08
59,4.102,7.02
60,4.102,7.02
61,4.111,6.97
62,4.106,6.99
63,4.111,6.97
64,4.097,7.05
65,4.092,7.08
66,4.087,7.1
67,4.087,7.1
68,4.092,7.08
69,4.092,7.08
70,4.092,7.08
71,4.102,7.02
72,4.097,7.05
73,4.106,6.99
74,4.111,6.97
75,4.106,6.99
76,4.111,6.97
77,4.097,7.05
78,4.092,7.08
79,4.092,7.08
80,4.087,7.1
81,4.092,7.08
82,4.087,7.1
83,4.092,7.08
84,4.092,7.08
85,4.106,6.99
86,4.106,6.99
87,4.106,6.99
88,4.102,7.02
89,4.102,7.02
90,4.092,7.08
91,4.092,7.08
92,4.082,7.13
93,4.087,7.1
94,4.087,7.1
95,4.092,7.08
96,4.092,7.08
97,4.092,7.08
98,4.102,7.02
99,4.102,7.02
100,4.116,6.94
101,4.106,6.99
102,4.111,6.97
103,4.106,6.99
104,4.092,7.08
105,4.087,7.1
106,4.087,7.1
107,4.092,7.08
108,4.092,7.08
109,4.082,7.13
110,4.092,7.08
111,4.092,7.08
112,4.102,7.02
113,4.111,6.97
114,4.111,6.97
115,4.116,6.94
116,4.106,6.99
117,4.092,7.08
118,4.097,7.05
119,4.087,7.1
120,4.087,7.1
121,4.087,7.1
122,4.087,7.1
123,4.087,7.1
124,4.106,6.99
125,4.097,7.05
126,4.106,6.99
127,4.111,6.97
128,4.111,6.97
129,4.097,7.05
130,4.102,7.02
131,4.092,7.08
132,4.092,7.08
133,4.092,7.08
134,4.082,7.13
135,4.097,7.05
136,4.087,7.1
137,4.097,7.05
138,4.102,7.02
139,4.102,7.02
140,4.111,6.97
141,4.106,6.99
142,4.106,6.99
143,4.097,7.05
144,4.097,7.05
145,4.092,7.08
146,4.092,7.08
147,4.092,7.08
148,4.087,7.1
149,4.092,7.08
150,4.092,7.08
151,4.097,7.05
152,4.106,6.99
153,4.106,6.99
154,4.106,6.99
155,4.111,6.97
156,4.102,7.02
157,4.097,7.05
158,4.087,7.1
159,4.092,7.08
160,4.092,7.08
161,4.097,7.05
162,4.092,7.08
163,4.092,7.08
164,4.102,7.02
165,4.102,7.02
166,4.111,6.97
167,4.106,6.99
168,4.106,6.99
169,4.102,7.02
170,4.097,7.05
171,4.092,7.08
172,4.097,7.05
173,4.092,7.08
174,4.097,7.05
175,4.087,7.1
176,4.092,7.08
177,4.097,7.05
178,4.102,7.02
179,4.102,7.02
180,4.102,7.02
181,4.106,6.99
182,4.102,7.02
183,4.102,7.02
184,4.092,7.08
185,4.082,7.13
186,4.087,7.1
187,4.092,7.08
188,4.092,7.08
189,4.087,7.1
190,4.092,7.08
191,4.092,7.08
192,4.106,6.99
193,4.106,6.99
194,4.106,6.99
195,4.106,6.99
196,4.092,7.08
197,4.092,7.08
198,4.092,7.08
199,4.092,7.08
200,4.087,7.1
201,4.087,7.1
202,4.082,7.13
203,4.087,7.1
204,4.087,7.1
205,4.097,7.05
206,4.106,6.99
207,4.106,6.99
208,4.106,6.99
209,4.102,7.02
210,4.097,7.05
211,4.092,7.08
212,4.092,7.08
213,4.082,7.13
214,4.092,7.08
215,4.097,7.05
216,4.092,7.08
217,4.092,7.08
218,4.097,7.05
219,4.102,7.02
220,4.111,6.97
221,4.106,6.99
222,4.106,6.99
223,4.097,7.05
224,4.092,7.08
225,4.092,7.08
226,4.092,7.08
227,4.092,7.08
228,4.092,7.08
229,4.087,7.1
230,4.092,7.08
231,4.097,7.05
232,4.102,7.02
233,4.102,7.02
234,4.102,7.02
235,4.102,7.02
236,4.106,6.99
237,4.087,7.1
238,4.087,7.1
239,4.082,7.13
240,4.082,7.13
241,4.087,7.1
242,4.092,7.08
243,4.092,7.08
244,4.102,7.02
245,4.097,7.05
246,4.106,6.99
247,4.106,6.99
248,4.102,7.02
249,4.106,6.99
250,4.092,7.08
251,4.092,7.08
252,4.092,7.08
253,4.087,7.1
254,4.097,7.05
255,4.097,7.05
256,4.082,7.13
257,4.087,7.1
258,4.097,7.05
259,4.102,7.02
260,4.106,6.99
261,4.102,7.02
262,4.111,6.97
263,4.106,6.99
264,4.097,7.05
265,4.097,7.05
266,4.087,7.1
267,4.087,7.1
268,4.087,7.1
269,4.087,7.1
270,4.092,7.08
271,4.092,7.08
272,4.106,6.99
273,4.106,6.99
274,4.111,6.97
275,4.106,6.99
276,4.111,6.97
277,4.097,7.05
278,4.092,7.08
279,4.087,7.1
280,4.087,7.1
281,4.087,7.1
282,4.077,7.16
283,4.082,7.13
284,4.092,7.08
285,4.102,7.02
286,4.102,7.02
287,4.106,6.99
288,4.102,7.02
289,4.106,6.99
290,4.097,7.05
291,4.102,7.02
292,4.092,7.08
293,4.092,7.08
294,4.097,7.05
295,4.082,7.13
296,4.092,7.08
297,4.092,7.08
298,4.102,7.02
299,4.097,7.05
300,4.097,7.05
301,4.111,6.97
302,4.111,6.97
303,4.111,6.97
304,4.097,7.05
305,4.092,7.08
306,4.087,7.1
307,4.087,7.1
308,4.092,7.08
309,4.082,7.13
310,4.092,7.08
311,4.097,7.05
312,4.092,7.08
313,4.097,7.05
314,4.111,6.97
315,4.106,6.99
316,4.106,6.99
317,4.102,7.02
318,4.102,7.02
319,4.097,7.05
320,4.092,7.08
321,4.097,7.05
322,4.092,7.08
323,4.087,7.1
324,4.092,7.08
325,4.092,7.08
326,4.092,7.08
327,4.097,7.05
328,4.116,6.94
329,4.106,6.99
330,4.111,6.97
331,4.102,7.02
332,4.092,7.08
333,4.092,7.08
334,4.087,7.1
335,4.092,7.08
336,4.092,7.08
337,4.087,7.1
338,4.097,7.05
339,4.092,7.08
340,4.097,7.05
341,4.111,6.97
342,4.111,6.97
343,4.106,6.99
344,4.097,7.05
345,4.097,7.05
346,4.097,7.05
347,4.097,7.05
348,4.087,7.1
349,4.097,7.05
350,4.092,7.08
351,4.087,7.1
352,4.097,7.05
353,4.102,7.02
354,4.102,7.02
355,4.106,6.99
356,4.111,6.97
357,4.111,6.97
358,4.097,7.05
359,4.087,7.1
360,4.092,7.08
361,4.087,7.1
362,4.087,7.1
363,4.087,7.1
364,4.082,7.13
365,4.082,7.13
366,4.097,7.05
367,4.102,7.02
368,4.106,6.99
369,4.111,6.97
370,4.102,7.02
371,4.102,7.02
372,4.102,7.02
373,4.092,7.08
374,4.082,7.13
375,4.087,7.1
376,4.087,7.1
377,4.092,7.08
378,4.092,7.08
379,4.097,7.05
380,4.102,7.02
381,4.102,7.02
382,4.111,6.97
383,4.102,7.02
384,4.106,6.99
385,4.097,7.05
386,4.097,7.05
387,4.082,7.13
388,4.087,7.1
389,4.082,7.13
390,4.082,7.13
391,4.087,7.1
392,4.097,7.05
393,4.092,7.08
394,4.102,7.02
395,4.111,6.97
396,4.106,6.99
397,4.106,6.99
398,4.102,7.02
399,4.097,7.05
400,4.082,7.13
401,4.087,7.1
402,4.092,7.08
403,4.087,7.1
404,4.082,7.13
405,4.097,7.05
406,4.092,7.08
407,4.106,6.99
408,4.102,7.02
409,4.111,6.97
410,4.106,6.99
411,4.111,6.97
412,4.097,7.05
413,4.087,7.1
414,4.087,7.1
415,4.097,7.05
416,4.087,7.1
417,4.087,7.1
418,4.087,7.1
419,4.092,7.08
420,4.097,7.05
421,4.097,7.05
422,4.097,7.05
423,4.097,7.05
424,4.102,7.02
425,4.097,7.05
426,4.087,7.1
427,4.087,7.1
428,4.092,7.08
429,4.092,7.08
430,4.092,7.08
431,4.092,7.08
432,4.087,7.1
433,4.097,7.05
434,4.102,7.02
435,4.106,6.99
436,4.106,6.99
437,4.106,6.99
438,4.102,7.02
439,4.097,7.05
440,4.087,7.1
441,4.092,7.08
442,4.087,7.1
443,4.092,7.08
444,4.097,7.05
445,4.092,7.08
446,4.092,7.08
447,4.097,7.05
448,4.102,7.02
449,4.106,6.99
450,4.106,6.99
451,4.102,7.02
452,4.102,7.02
453,4.097,7.05
454,4.097,7.05
455,4.087,7.1
456,4.087,7.1
457,4.087,7.1
458,4.087,7.1
459,4.092,7.08
460,4.087,7.1
461,4.106,6.99
462,4.106,6.99
463,4.106,6.99
464,4.111,6.97
465,4.097,7.05
466,4.087,7.1
467,4.092,7.08
468,4.087,7.1
469,4.097,7.05
470,4.087,7.1
471,4.092,7.08
472,4.102,7.02
473,4.097,7.05
474,4.106,6.99
475,4.106,6.99
476,4.106,6.99
477,4.106,6.99
478,4.097,7.05
479,4.092,7.08
480,4.097,7.05
481,4.087,7.1
482,4.087,7.1
483,4.087,7.1
484,4.087,7.1
485,4.087,7.1
486,4.097,7.05
487,4.106,6.99
488,4.106,6.99
489,4.106,6.99
490,4.106,6.99
491,4.106,6.99
492,4.102,7.02
493,4.092,7.08
494,4.087,7.1
495,4.087,7.1
496,4.092,7.08
497,4.092,7.08
498,4.087,7.1
499,4.102,7.02
500,4.097,7.05
501,4.102,7.02
502,4.106,6.99
503,4.106,6.99
504,4.106,6.99
505,4.092,7.08
506,4.092,7.08
507,4.092,7.08
508,4.087,7.1
509,4.087,7.1
510,4.092,7.08
511,4.092,7.08
512,4.097,7.05
513,4.092,7.08
514,4.102,7.02
515,4.106,6.99
516,4.111,6.97
517,4.097,7.05
518,4.097,7.05
519,4.092,7.08
520,4.092,7.08
521,4.087,7.1
522,4.092,7.08
523,4.087,7.1
524,4.082,7.13
525,4.097,7.05
526,4.102,7.02
527,4.102,7.02
528,4.116,6.94
529,4.106,6.99
530,4.106,6.99
531,4.092,7.08
532,4.092,7.08
533,4.092,7.08
534,4.087,7.1
535,4.092,7.08
536,4.092,7.08
537,4.092,7.08
538,4.092,7.08
539,4.106,6.99
